queue_id,corpus_row,legal_name,purpose,predicted_sector,predicted_sector_name,top3,margin,stratum,true_sector,keywords_ground_truth,annotator_note
18,1306,D & S Konstruktions-GmbH,"1. Gegenstand des Unternehmens sind Konstruktionen von Betriebsmitteln in der Blech- und Kunststoffverarbeitenden Industrie sowie Sondermaschinenbau, projektbegleitende Betreuung der einzelnen Betriebsmittel von der Konstruktion über die Fertigung bis hin zur Inbetriebnahme sowie sämtliche damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte. 2. Die Gesellschaft darf andere Unternehmen gleicher oder ähnlicher Art übernehmen, sich an ihnen beteiligen und ihre Geschäfte führen. Sie ist zur Errichtung von Zweigniederlassungen befugt. 3. Die Gesellschaft ist ferner berechtigt, Unternehmensverträge, insbesondere Gewinnabführungs- und Beherrschungsverträge abzuschließen.",C,Manufacturing,C|N|S,0.1279,representative,,,
19,9716,Pragsattel Inventar GmbH,"Halten und Bewirtschaften von Inventar, insbesondere das Vermieten von Inventar.",C,Manufacturing,C|B|F,0.1118,representative,,,
20,9513,bpr manufactur GmbH,"Die Entwicklung, Gestaltung und Produktion von Objekten als Einzelstücke und/oder in Serie zum Erleben von Naturphänomenen sowie deren Vertrieb.",C,Manufacturing,C|A|B,0.1031,representative,,,
21,620,BETEX - Haus der Markenkleidung für Männer Handelsgesellschaft mit beschränkter Haftung,"Die Anschaffung und die Herstellung von Damen- und Herrenbekleidung und ähnlicher Textilien sowie deren Vertrieb; die Beteiligung oder der Erwerb von Beteiligungen an Handelsgesellschaften, die den vorgenannten Zweck verfolgen.",C,Manufacturing,C|G|H,0.0737,representative,,,
22,3881,HEI-RO Heizungs- und Rohrleitungsbau GmbH,"ist der Heizungs-, Lüftungs- und Rohrleitungsbau sowie Industriemontagen und alle hiermit mittelbar oder unmittelbar zusammenhängende Geschäfte. Die Gesellschaft darf auch Zweigniederlassungen errichten. Die Gesellschaft ist berechtigt, an ihrem Sitz und an anderen Orten weitere gleichartige oder ähnliche Unternehmen zu errichten oder zu erwerben, sich an ihnen zu beteiligen, sowie die Verwaltung und Vertretung solcher Unternehmen zu übernehmen.",C,Manufacturing,C|N|S,0.0705,representative,,,
23,4219,NikiSam Industriemaschinen Handelsgesellschaft UG (haftungsbeschränkt),"der Handel, Produktion, Import und Export von Industriemaschinen und Rohstoffen.",C,Manufacturing,C|G|H,0.0574,representative,,,
24,5925,GENIUS Haus GmbH,"Die Erzeugung, Bearbeitung und Vermarktung von Erzeugnissen aus Natur und Landwirtschaft sowie der Handel mit Waren aller Art., Entwicklung, Umsetzung und Vermarktung von Bildungs- und Tourismus- sowie mobilen wie immobilen Hotel- und Wohnkonzepten, Entwicklung, Umsetzung und Vermarktung von Energie-, Land-, Wasser- und Luftfahrzeugkonzepten sowie von Gegenständen aller Art. Die Gesellschaft ist berechtigt, Geschäfte jeder Art durchzufrühren, die dem Geschäftszweck unmittelbar oder mittelbar dienen oder diese ergänzen. Die Gesellschaft ist berechtigt, andere Unternehmen zu erwerben, zu gründen oder sich an solchen zu beteiligen. Sie kann Geschäftsführungsaufgaben in solchen Gesellschaften übernehmen. Sie kann Zweigniederlassungen errichten.",C,Manufacturing,C|G|J,0.0490,representative,,,
25,9604,SIAS Leder GmbH,"Vertrieb von Leder und Lederprodukten der Firma SIAS (Sørensen Læder A/S) in den deutschsprachigen Ländern sowie in Holland und Belgien und alle in diesem Zusammenhang stehenden Tätigkeiten, mit Ausnahme erlaubnispflichtiger Tätigkeiten.",C,Manufacturing,C|G|H,0.0466,representative,,,
26,2666,BB Maler Ausbau GmbH,"Maler- und Ausbauarbeiten aller Art, Bauwerk- und Bauteilsanierungen aller Art sowie der Handel mit Zubehör und entsprechenden Materialien.",C,Manufacturing,C|F|B,0.0411,representative,,,
27,7730,Dr.med.H.S.Regelsberger Gesellschaft mit beschränkter Haftung,"Die Geschäftsführung der Firma Oxyven- Geräte Dr.med. H.S.Regelsberger GmbH & Co. Die Gesellschaft darf andere Unternehmen gleicher oder ähnlicher Art übernehmen, errichten und sich an solchen Unternehmen beteiligen und darf auch Zweigniederlassungen errichten.",C,Manufacturing,C|M|N,0.0367,representative,,,
28,1315,Bäckerei und Konditorei Vormann GmbH,die Herstellung und der Vertrieb von Backwaren aller Art.,C,Manufacturing,C|G|H,0.0299,representative,,,
29,6234,Rottaler Fruchtsaftverwaltungs GmbH,Beteiligung an Unternehmen auf dem Gebiet der Produktion und des Handels mit Lebensmitteln insbesondere mit Getränken.,C,Manufacturing,C|I|G,0.0290,representative,,,
30,1195,Mitteldeutscher Orgelbau A. Voigt GmbH,"die Herstellung, Restauration und Rekonstruktion von Orgeln und aller damit verbundenen bzw. im Zusammenhang stehenden Geschäfte",C,Manufacturing,C|F|B,0.0210,representative,,,
31,9251,Klein sanitär- und gastechnische Anlagen GmbH,"Die Ausführung von Gas- und Wasserinstallationen, Bauklempnerei sowie der Handel mit dazugehörigen Materialien.",C,Manufacturing,C|E|D,0.0166,representative,,,
32,2779,KIMA Transporte GmbH,Der Betrieb eines Fuhrunternehmens.,C,Manufacturing,C|G|N,0.0144,representative,,,
33,2886,OV Verwaltungs-GmbH,"Beteiligung als persönlich haftende Gesellschafterin an einer Gesellschaft, die die Entwicklung, Herstellung und den Vertrieb von Produkten für Haustechnik und Industrie sowie Handel und weitere Dienstleistungen in den genannten und benachbarten Bereichen zum Gegenstand hat, nämlich der Oventrop GmbH & Co. KG; Führung der Geschäfte sowie Vertretung der genannten KG.",C,Manufacturing,C|M|N,0.0058,low_margin,,,
34,6638,VBGM Krefeld GmbH,Der Betrieb einer Gastronomie,C,Manufacturing,C|I|D,0.0057,low_margin,,,
35,863,Kaiser Starkstrom-Freileitungsarmaturen GmbH,Die Herstellung und der Vertrieb von Starkstrom- Freileitungsarmaturen und Bau von Maschinen und Geräten jeglicher Art.,C,Manufacturing,C|D|H,0.0052,low_margin,,,
36,8985,HEMO Fitness GmbH,"das Errichten und Betreiben von Fitness- Centern sowie der Handel mit im Fitnessbereich verwendeten Geräten, Materialien und Waren.",C,Manufacturing,C|R|I,0.0050,low_margin,,,
37,2412,Walter Lechner Motorsport GmbH,"Erwerb, die Vermietung und Veräußerung von Rennwagen samt Ersatzteilen und Zubehör, sowie Serviceleistungen für Rennwagen. Die Gesellschaft ist berechtigt, gleiche oder ähnliche Unternehmen zu erwerben, sich an solchen zu beteiligen und Zweigniederlassungen zu errichten.",C,Manufacturing,C|G|H,0.0045,low_margin,,,
